Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,330,6,8.869758234366596
KatsuuraEvaluation,cross_interval,tune,330,7,8.913993780483494
KatsuuraEvaluation,cross_interval,tune,330,8,9.434158730709296
KatsuuraEvaluation,cross_interval,tune,330,9,8.324057402952192
KatsuuraEvaluation,cross_interval,tune,330,10,8.667249914176967
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,340,1,8.878348497580063
KatsuuraEvaluation,cross_interval,tune,340,2,8.980465078795765
KatsuuraEvaluation,cross_interval,tune,340,3,8.009178796501763
KatsuuraEvaluation,cross_interval,tune,340,4,9.389124532256561
KatsuuraEvaluation,cross_interval,tune,340,5,9.659556053599692
KatsuuraEvaluation,cross_interval,tune,340,6,8.917688450601686
KatsuuraEvaluation,cross_interval,tune,340,7,9.066448721286964
KatsuuraEvaluation,cross_interval,tune,340,8,9.43415847879596
KatsuuraEvaluation,cross_interval,tune,340,9,9.142450012915107
KatsuuraEvaluation,cross_interval,tune,340,10,9.515230613429708
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,350,1,9.058665008746852
KatsuuraEvaluation,cross_interval,tune,350,2,8.655081341709096
KatsuuraEvaluation,cross_interval,tune,350,3,8.82519748994622
KatsuuraEvaluation,cross_interval,tune,350,4,9.389124439199248
KatsuuraEvaluation,cross_interval,tune,350,5,8.572948103035753
KatsuuraEvaluation,cross_interval,tune,350,6,8.240678169045607
KatsuuraEvaluation,cross_interval,tune,350,7,9.275686088343736
KatsuuraEvaluation,cross_interval,tune,350,8,9.434158498075933
KatsuuraEvaluation,cross_interval,tune,350,9,9.1662591692889
KatsuuraEvaluation,cross_interval,tune,350,10,7.722590908898375
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,360,1,7.799781525072022
KatsuuraEvaluation,cross_interval,tune,360,2,8.482603987672183
KatsuuraEvaluation,cross_interval,tune,360,3,8.909712716563469
KatsuuraEvaluation,cross_interval,tune,360,4,9.389124277658198
KatsuuraEvaluation,cross_interval,tune,360,5,8.458773945286373
KatsuuraEvaluation,cross_interval,tune,360,6,8.174400045188676
KatsuuraEvaluation,cross_interval,tune,360,7,8.91387312883883
KatsuuraEvaluation,cross_interval,tune,360,8,9.434158511871203
KatsuuraEvaluation,cross_interval,tune,360,9,9.48132567680656
KatsuuraEvaluation,cross_interval,tune,360,10,8.78095945319631
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,370,1,9.024667019239624
KatsuuraEvaluation,cross_interval,tune,370,2,7.984723725312519
KatsuuraEvaluation,cross_interval,tune,370,3,8.488239680238037
KatsuuraEvaluation,cross_interval,tune,370,4,9.389124246772962
KatsuuraEvaluation,cross_interval,tune,370,5,8.171277545071792
KatsuuraEvaluation,cross_interval,tune,370,6,9.0636793525891
KatsuuraEvaluation,cross_interval,tune,370,7,8.913856930290178
KatsuuraEvaluation,cross_interval,tune,370,8,9.434158486099248
KatsuuraEvaluation,cross_interval,tune,370,9,8.804681740266355
KatsuuraEvaluation,cross_interval,tune,370,10,8.76077536656512
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,380,1,7.723124495313968
KatsuuraEvaluation,cross_interval,tune,380,2,8.425616228128929
KatsuuraEvaluation,cross_interval,tune,380,3,8.542964465882022
KatsuuraEvaluation,cross_interval,tune,380,4,9.389124229789376
